,CIK,CONAME,FYRMO,FDATE,FORM,SECFNAME,positive_score,negative_score,polarity_score,average_sentence_length,percentage_of_complex_words,fog_index,complex_word_count,word_count,uncertainty_score,constraining_score,positive_word_proportion,negative_word_proportion,uncertainty_word_proportion,constraining_word_proportion,constraining_words_whole_report
17,,,,,,,18,4,0.6363646363636364,39.3,18.956743002544528,23.30269720101781,149,430,17,0,0.04186046511627907,0.009302325581395349,0.03953488372093023,0.0,
18,,,,,,,18,4,0.6363646363636364,30.359615384615385,0.4719072654715905,12.332609060034791,149,16767,17,0,0.0010735373054213634,0.00023856384564919185,0.0010138963440090654,0.0,
19,,,,,,,18,4,0.6363646363636364,31.47097687588485,0.22343185328474813,12.67776349166784,149,34770,17,0,0.0005176876617773944,0.00011504170261719873,0.0004889272361230946,0.0,
20,,,,,,,18,4,0.6363646363636364,26.561728395061728,1.7313502207762028,11.317231446335173,149,4774,17,0,0.003770423125261835,0.0008378718056137411,0.0035609551738583997,0.0,
21,,,,,,,18,4,0.6363646363636364,41.43455098934551,0.27367067682982826,16.683288666470137,149,27021,17,0,0.0006661485511269013,0.00014803301136153362,0.0006291402982865179,0.0,
22,,,,,,,18,4,0.6363646363636364,26.57100149476831,0.8382088208820881,10.96368412626016,149,10155,17,0,0.0017725258493353029,0.00039389463318562285,0.001674052191038897,0.0,
23,,,,,,,18,4,0.6363646363636364,25.50796812749004,1.1636079656384226,10.668630437251387,149,7155,17,0,0.0025157232704402514,0.0005590496156533892,0.0023759608665269044,0.0,
24,,,,,,,18,4,0.6363646363636364,26.970689655172414,0.9525027168701655,11.169276948817032,149,8664,17,0,0.002077562326869806,0.0004616805170821791,0.0019621421975992612,0.0,
25,,,,,,,18,4,0.6363646363636364,28.642061281337046,0.724531971796742,11.746637301253516,149,11519,17,0,0.0015626356454553347,0.00034725236565674104,0.0014758225540411494,0.0,
26,,,,,,,18,4,0.6363646363636364,22.230268863833476,0.2906579794393617,9.008370737309136,149,28503,17,0,0.0006315124723713293,0.0001403361049714065,0.0005964284461284777,0.0,
27,,,,,,,18,4,0.6363646363636364,26.338929695697797,0.2968009242659655,10.654292247985506,149,28005,17,0,0.0006427423674343867,0.0001428316372076415,0.0006070344581324763,0.0,
28,,,,,,,18,4,0.6363646363636364,42.333333333333336,0.1591897349330655,16.99700922730656,149,46931,17,0,0.00038354179540176,8.523151008928e-05,0.00036223391787944004,0.0,
29,,,,,,,18,4,0.6363646363636364,28.188990825688073,0.9698626570331316,11.663541393088483,149,8619,17,0,0.002088409328228333,0.00046409096182851837,0.0019723865877712033,0.0,
30,,,,,,,18,4,0.6363646363636364,30.454639175257732,0.5043837378558613,12.383609165245439,149,15620,17,0,0.0011523687580025609,0.00025608194622279127,0.001088348271446863,0.0,
31,,,,,,,18,4,0.6363646363636364,26.68,0.28639526390650827,10.786558105562605,149,28877,17,0,0.0006233334487654535,0.00013851854417010076,0.0005887038127229283,0.0,
32,,,,,,,18,4,0.6363646363636364,29.483333333333334,0.7657125237679223,12.099618342840504,149,10849,17,0,0.0016591390911604757,0.000368697575813439,0.001566964697207116,0.0,
33,,,,,,,18,4,0.6363646363636364,27.37704918032787,1.2745936698032505,11.460657140052447,149,6591,17,0,0.0027309968138370506,0.0006068881808526779,0.002579274768623881,0.0,
34,,,,,,,18,4,0.6363646363636364,25.10382890651949,0.20473782565680995,10.12342669287052,149,40043,17,0,0.00044951676947281675,9.989261543840372e-05,0.0004245436156132158,0.0,
35,,,,,,,18,4,0.6363646363636364,25.56338028169014,4.104683195592287,11.86722539091297,149,2206,17,0,0.008159564823209429,0.001813236627379873,0.0077062556663644605,0.0,
36,,,,,,,18,4,0.6363646363636364,27.137123745819398,1.8363322652206064,11.589382404416002,149,4671,17,0,0.0038535645472061657,0.0008563476771569257,0.003639477627916934,0.0,
37,,,,,,,18,4,0.6363646363636364,28.648318042813457,1.590520922288642,12.09553558604084,149,5326,17,0,0.003379647014645137,0.0007510326699211416,0.0031918888471648517,0.0,
38,,,,,,,18,4,0.6363646363636364,33.67014613778706,0.923859126984127,13.837602105908474,149,8676,17,0,0.002074688796680498,0.0004610419548178884,0.001959428307976026,0.0,
39,,,,,,,18,4,0.6363646363636364,33.11469026548673,0.1592748185442923,13.309586033612408,149,48628,17,0,0.0003701571111293905,8.225713580653122e-05,0.0003495928271777577,0.0,
40,,,,,,,18,4,0.6363646363636364,29.3986013986014,1.7721217887725977,12.4682892749496,149,4888,17,0,0.0036824877250409165,0.0008183306055646482,0.0034779050736497546,0.0,
41,,,,,,,18,4,0.6363646363636364,29.454819277108435,1.5236731772164842,12.391396981729969,149,5620,17,0,0.003202846975088968,0.0007117437722419929,0.0030249110320284696,0.0,
42,,,,,,,18,4,0.6363646363636364,30.42622950819672,1.605603448275862,12.812733182589035,149,5307,17,0,0.0033917467495760316,0.0007537214999057848,0.0032033163745995856,0.0,
43,,,,,,,18,4,0.6363646363636364,23.54973821989529,1.6562916851934193,10.082411962035485,149,5501,17,0,0.003272132339574623,0.0007271405199054717,0.003090347209598255,0.0,
44,,,,,,,18,4,0.6363646363636364,23.005420054200542,1.755212628106962,9.904253072923002,149,5225,17,0,0.003444976076555024,0.0007655502392344498,0.0032535885167464117,0.0,
