,urls,pageviews,users,new_users,returning_users,clean_url
362,https://money/personal-finance/epf-ppf-among-assets-that-enjoy-legal-protection-from-court-attachment-1556706885816.html,4,3,2,1,money/personal-finance/epf-ppf-among-assets-that-enjoy-legal-protection-from-court-attachment-1556706885816.html
363,https://money/personal-finance/hsbc-india-launches-green-deposit-programme-to-finance-eco-friendly-projects-11597940240440.html,4,4,3,1,https://money/personal-finance/hsbc-india-launches-green-deposit-programme-to-finance-eco-friendly-projects
364,https://money/personal-finance/ltc-cash-voucher-scheme-return-cash-payout-to-the-employer-if-you-spend-less/amp-11604115122805.html,4,3,0,3,https://money/personal-finance/ltc-cash-voucher-scheme-return-cash-payout-to-the-employer-if-you-spend-less/amp
365,https://money/personal-finance/register-property-release-deed-with-the-sub-registrar-of-assurances/amp-11579601021119.html,4,2,0,2,https://money/personal-finance/register-property-release-deed-with-the-sub-registrar-of-assurances/amp
366,https://money/personal-finance/what-is-stamp-duty-and-what-is-it-charged-for-1551015799344.html,4,4,2,2,money/personal-finance/what-is-stamp-duty-and-what-is-it-charged-for-1551015799344.html
367,https://mutual-fund/mf-news/sip-inflows-drop-for-6th-month-in-sept-investors-prefer-to-maintain-liquidity-11602590605845.html,4,3,1,2,https://mutual-fund/mf-news/sip-inflows-drop-for-6th-month-in-sept-investors-prefer-to-maintain-liquidity
368,https://news/india/8-ncr-districts-make-up-over-one-third-of-active-coronavirus-cases-in-up/amp-11594227601699.html,4,4,1,3,https://news/india/8-ncr-districts-make-up-over-one-third-of-active-coronavirus-cases-in-up/amp
369,https://news/india/ayushman-bharat-beneficiaries-to-get-assistance-of-up-to-15-lakh-under-ran/amp-11581506645536.html,4,2,2,0,https://news/india/ayushman-bharat-beneficiaries-to-get-assistance-of-up-to-15-lakh-under-ran/amp
370,https://news/india/come-2022-here-s-how-delhi-meerut-regional-rapid-transit-system-will-look-like-11601038779749.html,4,4,2,2,https://news/india/come-2022-here-s-how-delhi-meerut-regional-rapid-transit-system-will-look-like
371,https://news/india/covid-19-update-active-covid-cases-in-india-fall-below-7-lakh-as-nearly-74-000-recover-in-a-day-11603424620149.html,4,2,0,2,https://news/india/covid-19-update-active-covid-cases-in-india-fall-below-7-lakh-as-nearly-74-000-recover-in-a-day
